$Yr
2010 2094.8 721.033 1072.75 4090.57
2011 6190.41 2336.6 2983.46 12844.5
2012 17652.9 7707.7 7655.74 40704.8
$N
1992  3854.72 2061.74 1043.75 311.343 147.473 130.759 102.644 82.3328 92.1039 61.8385 111.768 296.745
1993  2734.56 1550.36 1053.27 608.366 193.289 105.383 104.067 82.475 64.8737 72.5729 48.7253 321.886
1994  2693.15 1099.06 788.356 608.386 373.397 136.913 83.4472 83.2477 64.6157 50.8258 56.8578 290.358
1995  3584.64 1084.64 566.527 467.614 386.146 271.408 110.038 67.6301 66.3237 51.4795 40.4931 276.628
1996  9341.67 1444.25 560.548 337.743 298.704 282.062 218.753 89.4034 54.0539 53.0097 41.1453 253.461
1997  3082.61 3773.08 758.73 345.039 224.645 225.087 231.449 180.549 72.9149 44.0848 43.2332 240.273
1998  1914.23 1241.84 1948.43 451.642 219.983 163.851 181.264 187.907 144.167 58.2219 35.2014 226.377
1999  2867.05 753.306 590.676 1088.81 284.188 156.618 127.089 141.239 146.312 112.255 45.3341 203.677
2000  2568.34 1142.11 378.006 353.325 728.258 213.187 126.301 102.781 114.175 118.276 90.7449 201.296
2001  3040.11 1022.19 570.82 224.964 235.247 544.18 171.42 101.861 82.854 92.0388 95.345 235.42
2002  1661.38 1209.93 510.849 339.687 149.773 175.774 437.546 138.242 82.1083 66.7874 74.1911 266.625
2003  3251.87 661.375 605.327 304.416 226.429 112.026 141.441 353.125 111.519 66.2361 53.8769 274.934
2004  3462.8 1298.44 335.297 366.841 206.007 171.568 91.0173 115.207 287.517 90.7998 53.93 267.72
2005  2045.24 1380.05 652.832 201.065 245.913 154.835 138.554 73.7095 93.2594 232.743 73.5018 260.374
2006  976.39 814.372 691.147 389.53 134.183 184.121 124.684 111.901 59.5036 75.2857 187.887 269.528
2007  1460.65 387.67 402.769 405.874 256.267 99.2438 146.923 99.8256 89.5453 47.6159 60.245 366.032
2008  2297.12 580.087 191.944 236.856 267.354 189.743 79.257 117.721 79.9439 71.7111 38.1325 341.378
2009  1842.47 910.82 285.192 111.867 154.768 196.592 150.754 63.1927 93.8098 63.7061 57.1455 302.426
2010  2094.8 727.207 438.87 162.014 71.4375 111.59 153.926 118.528 49.6525 73.7093 50.0559 282.527
2011  6190.41 825.48 347.951 247.104 102.637 51.156 86.9273 120.433 92.6751 38.8226 57.6322 260.042
2012  17652.9 2464.43 413.067 207.396 164.751 76.7843 41.1698 70.1648 97.1657 74.7705 31.3221 256.3

$F_age_1
1992  0.0108125 0.0716568 0.139802 0.176708 0.136044 0.0783226 0.0687668 0.0883268 0.0883268 0.0883268 0.0883268 0.0883268 
1993  0.0115116 0.0762902 0.148842 0.188134 0.14484 0.083387 0.0732133 0.0940382 0.0940382 0.0940382 0.0940382 0.0940382 
1994  0.00945939 0.0626895 0.122307 0.154594 0.119019 0.0685212 0.0601612 0.0772735 0.0772735 0.0772735 0.0772735 0.0772735 
1995  0.00906755 0.0600927 0.11724 0.14819 0.114089 0.0656828 0.0576691 0.0740725 0.0740725 0.0740725 0.0740725 0.0740725 
1996  0.00659393 0.0436995 0.0852574 0.107764 0.0829654 0.0477646 0.041937 0.0538656 0.0538656 0.0538656 0.0538656 0.0538656 
1997  0.00918483 0.06087 0.118757 0.150107 0.115564 0.0665323 0.058415 0.0750306 0.0750306 0.0750306 0.0750306 0.0750306 
1998  0.0325982 0.143081 0.181935 0.163253 0.139738 0.104071 0.099502 0.100202 0.100202 0.100202 0.100202 0.100202 
1999  0.0204044 0.0895599 0.11388 0.102186 0.0874673 0.0651418 0.0622821 0.06272 0.06272 0.06272 0.06272 0.06272 
2000  0.0213163 0.0935622 0.118969 0.106753 0.0913761 0.0680529 0.0650653 0.0655228 0.0655228 0.0655228 0.0655228 0.0655228 
2001  0.0213304 0.0936242 0.119048 0.106823 0.0914367 0.068098 0.0651085 0.0655663 0.0655663 0.0655663 0.0655663 0.0655663 
2002  0.0210851 0.0925477 0.117679 0.105595 0.0903853 0.067315 0.0643598 0.0648123 0.0648123 0.0648123 0.0648123 0.0648123 
2003  0.0180683 0.0793058 0.100841 0.0904864 0.0774529 0.0576835 0.0551512 0.0555389 0.0555389 0.0555389 0.0555389 0.0555389 
2004  0.0199576 0.0875988 0.111386 0.0999484 0.085552 0.0637154 0.0609183 0.0613466 0.0613466 0.0613466 0.0613466 0.0613466 
2005  0.020852 0.0915243 0.116378 0.104427 0.0893858 0.0665706 0.0636482 0.0640957 0.0640957 0.0640957 0.0640957 0.0640957 
2006  0.0237066 0.104054 0.13231 0.118723 0.101623 0.0756841 0.0723615 0.0728703 0.0728703 0.0728703 0.0728703 0.0728703 
2007  0.0234557 0.102953 0.13091 0.117467 0.100547 0.0748832 0.0715958 0.0720992 0.0720992 0.0720992 0.0720992 0.0720992 
